idx, drive, strafe, turn, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
98, 0, 0, -1.088629, 230.6605, -486.5722, 193.1448, 1068.0, 1133.5, 400.8868, 2349.327, -88.7255, 1.136972, 1.135656
99, 0, 0, -1.088629, 230.7403, -486.7273, 193.1448, 1068.0, 1133.5, 400.7689, 2349.258, -88.75916, 1.146972, 1.145656
100, 0, 0, -0.9894848, 230.7403, -486.7273, 193.1448, 1068.0, 1133.5, 400.807, 2349.273, -88.79518, 1.156972, 1.155656
101, 0, 0, -0.9270763, 230.7403, -486.8072, 193.1448, 1068.0, 1132.5, 400.773, 2349.29, -88.83848, 1.166972, 1.165656
102, 0, 0, -0.8692741, 230.7403, -486.8072, 193.1448, 1068.0, 1132.5, 400.8257, 2349.311, -88.88841, 1.176972, 1.175656
103, 0, 0, -0.8115578, 230.8157, -487.0421, 193.1448, 1068.0, 1132.5, 400.6411, 2349.251, -88.93465, 1.186972, 1.185656
104, 0, 0, -0.8115578, 230.8157, -487.0421, 193.1448, 1068.0, 1132.5, 400.6899, 2349.27, -88.98082, 1.196972, 1.195656
105, 0, 0, -0.7512856, 230.8157, -487.1973, 193.1448, 1068.0, 1133.0, 400.5857, 2349.287, -89.02904, 1.206972, 1.205656
106, 0, 0, -0.7512856, 230.8157, -487.1973, 193.1448, 1068.0, 1133.0, 400.6366, 2349.307, -89.07714, 1.216972, 1.215656
107, -1, 1, -1.345175, 230.8157, -487.2726, 193.1448, 1068.0, 1133.0, 398.5296, 2349.324, -89.11952, 0.7604477, 1.225656
108, -3, 3, -1.221877, 230.8157, -487.2726, 193.1448, 1068.0, 1129.0, 398.5806, 2347.685, -89.16766, 0.7704477, 0.7637745
109, -3, 3, -1.221877, 230.8157, -487.3524, 193.1448, 1068.0, 1129.0, 398.5353, 2347.697, -89.20023, 0.7804477, 0.7737745
110, -5, 4.828426, -1.244886, 230.8157, -487.3524, 193.9772, 1068.0, 1129.0, 397.8072, 2347.696, -89.19563, 0.5665383, 0.7837745
111, -6, 4.843482, -1.261508, 230.8955, -487.3524, 193.9772, 1068.0, 1129.0, 397.7973, 2347.611, -89.18517, 0.5765383, 0.7937745
112, -6, 4.843482, -1.261508, 230.8955, -487.3524, 193.9772, 1068.0, 1130.0, 397.7858, 2346.573, -89.17429, 0.5865383, 0.5733518
113, -8, 5.254462, -1.354313, 230.8955, -487.3524, 193.9772, 1068.0, 1130.0, 397.7504, 2346.559, -89.14085, 0.5965383, 0.5833517
114, -8, 5.254462, -1.354313, 230.8955, -487.3524, 193.9772, 1068.0, 1130.0, 397.3156, 2346.547, -89.11354, 0.4653975, 0.5933517
115, -10, 5.509187, -1.385446, 230.8955, -487.3524, 193.9772, 1068.0, 1132.0, 397.3009, 2345.489, -89.0997, 0.4753975, 0.4635191
116, -10, 5.509187, -1.385446, 230.8955, -487.3524, 193.9772, 1068.0, 1132.0, 397.294, 2345.486, -89.09316, 0.4853975, 0.4735191
117, -12, 5.602899, -1.405424, 230.8955, -487.3524, 193.9772, 1068.0, 1132.0, 397.0278, 2345.484, -89.08751, 0.397049, 0.4835191
118, -12, 5.602899, -1.405424, 230.8955, -487.3524, 193.9772, 1068.0, 1132.0, 397.02, 2345.481, -89.08009, 0.4070489, 0.4935191
119, -14, 5.583887, -1.430846, 230.8955, -487.3524, 193.9772, 1068.0, 1131.0, 397.0098, 2344.979, -89.07045, 0.4170489, 0.4022491
120, -14, 5.583887, -1.430846, 230.8955, -487.3524, 193.9772, 1068.0, 1131.0, 397.0023, 2344.975, -89.06344, 0.4270489, 0.412249
121, -16, 5.650857, -1.428562, 230.8955, -487.3524, 193.1448, 1068.0, 1131.0, 396.6724, 2344.977, -89.06717, 0.3586706, 0.422249
122, -16, 5.650857, -1.428562, 230.8955, -487.3524, 193.1448, 1068.0, 1127.5, 396.6701, 2345.247, -89.06494, 0.3686706, 0.3554316
