dx, heading, dist, lfm CMD, lfm POS, lfm VEL, lfm TRQ, lbm CMD, lbm POS, lbm VEL, lbm TRQ, rfm CMD, rfm POS, rfm VEL, rfm TRQ, rbm CMD, rbm POS, rbm VEL, rbm TRQ
368, 0.2, 367.0, -27.4, 4.6, -27.3, 61.0, 32.6, 0.4, 6.4, 22.6, 33.2, 0.1, 10.4, 11.3, -26.8, 4.5, -25.6, 69.5
369, 0.1, 366.0, -28.5, 4.6, -28.4, 58.8, 33.5, 0.4, 9.1, 28.3, 33.9, 0.2, 11.1, 15.9, -28.1, 4.5, -26.8, 67.1
370, 0.1, 366.0, -27.4, 4.6, -30.7, 55.6, 36.6, 0.4, 11.3, 34.0, 36.9, 0.2, 11.9, 21.0, -27.1, 4.4, -28.9, 64.3
371, 0.1, 366.0, -28.9, 4.6, -33.1, 52.4, 37.1, 0.4, 14.3, 39.5, 37.4, 0.2, 13.5, 26.2, -28.6, 4.4, -31.5, 60.8
372, 0.1, 363.5, -28.7, 4.5, -33.4, 48.6, 39.3, 0.4, 16.7, 44.4, 39.5, 0.2, 16.9, 31.9, -28.5, 4.4, -31.5, 57.7
373, 0.1, 361.0, -30.1, 4.5, -33.2, 44.8, 39.9, 0.4, 19.1, 49.0, 40.1, 0.2, 18.9, 36.5, -29.9, 4.3, -32.5, 54.4
374, 0.1, 361.0, -29.6, 4.5, -34.7, 41.0, 42.4, 0.5, 22.1, 52.7, 42.6, 0.2, 20.2, 40.6, -29.4, 4.3, -33.9, 50.2
375, 0.1, 354.5, -31.2, 4.4, -34.3, 37.0, 42.8, 0.5, 24.7, 56.6, 43.0, 0.3, 23.3, 45.0, -31.0, 4.3, -34.5, 46.0
376, 0.0, 351.0, -32.6, 4.4, -32.2, 33.6, 43.4, 0.5, 26.3, 59.9, 43.6, 0.3, 25.6, 48.6, -32.4, 4.2, -34.7, 41.7
377, 0.1, 351.0, -32.3, 4.4, -32.6, 30.0, 45.7, 0.5, 29.3, 62.1, 45.9, 0.3, 28.4, 51.8, -32.1, 4.2, -35.2, 37.2
