idx, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
156, -294.1405, 776.6731, 9999.0, 1197.0, 227.0, 360.4585, 2305.165, 232.6577, 0.9966994, 0.9255515
157, -300.9927, 792.341, 9999.0, 1197.0, 227.0, 363.1299, 2304.769, 234.9578, 0.9966994, 0.9255515
158, -300.9927, 792.341, 9999.0, 1197.0, 227.0, 360.418, 2305.237, 237.2633, 1.016699, 0.9455515
159, -307.3574, 807.1456, 9999.0, 1197.0, 227.0, 362.841, 2305.048, 239.526, 1.026699, 0.9555514
160, -307.3574, 807.1456, 9999.0, 1197.0, 227.0, 360.1405, 2305.297, 241.7981, 1.036699, 0.9655515
161, -312.4965, 822.8136, 9999.0, 1197.0, 227.0, 362.6158, 2304.835, 244.0954, 1.036699, 0.9655515
162, -312.4965, 822.8136, 9999.0, 1197.0, 227.0, 359.9082, 2304.868, 246.364, 1.056699, 0.9855515
163, -319.1118, 838.3702, 9999.0, 1197.0, 227.0, 362.6036, 2305.056, 248.6093, 1.066699, 0.9955514
164, -319.1118, 838.3702, 9999.0, 1197.0, 227.0, 359.8943, 2304.875, 250.8842, 1.076699, 1.005551
165, -324.613, 853.9128, 9999.0, 1197.0, 227.0, 362.4413, 2304.934, 253.1502, 1.076699, 1.005551
166, -324.613, 853.9128, 9999.0, 1197.0, 227.0, 359.7908, 2304.547, 255.3944, 1.096699, 1.025551
167, -330.6156, 867.9932, 9999.0, 1197.0, 227.0, 361.9046, 2305.053, 257.6563, 1.106699, 1.035551
168, -330.6156, 867.9932, 9999.0, 1197.0, 227.0, 359.2432, 2304.444, 259.9437, 1.116699, 1.045551
169, -336.1168, 882.4356, 9999.0, 1197.0, 227.0, 361.3999, 2304.944, 262.211, 1.116699, 1.045551
170, -336.1168, 882.4356, 9999.0, 1197.0, 227.0, 358.8124, 2304.132, 264.483, 1.136699, 1.065551
171, -340.6431, 897.8529, 9999.0, 1197.0, 227.0, 361.1862, 2304.468, 266.7813, 1.146699, 1.075551
172, -340.6431, 897.8529, 9999.0, 1197.0, 227.0, 358.6749, 2303.454, 269.0504, 1.156699, 1.085551
173, -347.0218, 912.546, 9999.0, 1197.0, 732.0, 360.8029, 2304.575, 271.3089, 1.156699, 1.085551
174, -347.0218, 912.546, 9999.0, 1197.0, 732.0, 358.3577, 2455.332, 273.5989, 1.176699, 0.7178231
175, -355.3363, 926.1249, 9999.0, 1197.0, 732.0, 359.937, 2457.174, 275.8813, 1.186699, 0.7278231
176, -355.3363, 926.1249, 9999.0, 1197.0, 732.0, 357.6184, 2455.776, 278.1497, 1.186699, 0.7278231
177, -362.4391, 941.3054, 9999.0, 1197.0, 732.0, 359.6106, 2457.453, 280.4444, 1.206699, 0.747823
178, -362.4391, 941.3054, 9999.0, 1197.0, 732.0, 357.3879, 2455.857, 282.7371, 1.216699, 0.757823
179, -368.4417, 956.4859, 9999.0, 1197.0, 732.0, 359.3779, 2457.382, 284.9903, 1.226699, 0.767823
180, -368.4417, 956.4859, 9999.0, 1197.0, 732.0, 357.3172, 2455.642, 287.25, 1.226699, 0.767823
181, -374.4303, 972.4047, 9999.0, 1197.0, 732.0, 359.384, 2457.381, 289.5231, 1.246699, 0.787823
182, -374.4303, 972.4047, 9999.0, 1197.0, 732.0, 357.4804, 2455.498, 291.7665, 1.256699, 0.797823
183, -380.3076, 987.4599, 9999.0, 1197.0, 732.0, 359.1932, 2457.268, 294.0129, 1.266699, 0.807823
184, -380.3076, 987.4599, 9999.0, 1197.0, 732.0, 357.4214, 2455.214, 296.2857, 1.266699, 0.807823
185, -386.3102, 1001.777, 9999.0, 1197.0, 732.0, 358.761, 2457.026, 298.5378, 1.286699, 0.827823
186, -386.3102, 1001.777, 9999.0, 1197.0, 732.0, 357.18, 2454.875, 300.775, 1.296699, 0.837823
187, -392.4241, 1016.094, 9999.0, 1197.0, 732.0, 358.3382, 2456.795, 303.0486, 1.306699, 0.847823
188, -392.4241, 1016.094, 9999.0, 1197.0, 732.0, 356.9113, 2454.489, 305.321, 1.306699, 0.847823
189, -398.3014, 1029.938, 9999.0, 1197.0, 732.0, 357.8719, 2456.388, 307.5495, 1.326699, 0.8678229
190, -398.3014, 1029.938, 9999.0, 1197.0, 732.0, 356.6411, 2454.0, 309.7999, 1.336699, 0.877823
191, -403.9279, 1046.204, 9999.0, 1197.0, 732.0, 358.0343, 2456.377, 312.0873, 1.346699, 0.8878229
192, -403.9279, 1046.204, 9999.0, 1197.0, 732.0, 356.9996, 2453.909, 314.3292, 1.346699, 0.8878229
193, -408.9557, 1060.41, 9999.0, 1197.0, 732.0, 357.9301, 2455.842, 316.5544, 1.366699, 0.9078229
194, -408.9557, 1075.827, 9999.0, 1197.0, 732.0, 360.2338, 2457.011, 318.8374, 1.376699, 0.9178229
195, -413.8441, 1075.827, 9999.0, 1197.0, 732.0, 358.2585, 2455.358, 321.1085, 1.386699, 0.9278229
196, -413.8441, 1091.495, 9999.0, 1197.0, 732.0, 360.5251, 2456.829, 323.339, 1.386699, 0.9278229
197, -413.8441, 1091.495, 9999.0, 1197.0, 732.0, 360.5251, 2456.829, 323.339, 1.396699, 0.9378229
198, -419.2338, 1106.676, 9999.0, 1197.0, 732.0, 360.6059, 2456.574, 327.8862, 1.416699, 0.9578229
199, -424.1362, 1106.676, 9999.0, 1197.0, 732.0, 358.9141, 2454.669, 330.1281, 1.426699, 0.9678228
200, -424.1362, 1122.344, 9999.0, 1197.0, 732.0, 360.9203, 2456.464, 332.3705, 1.426699, 0.9678228
201, -428.6625, 1122.344, 9999.0, 1197.0, 732.0, 359.492, 2454.335, 334.6511, 1.446699, 0.9878228
202, -428.6625, 1137.775, 9999.0, 1197.0, 732.0, 361.3213, 2456.195, 336.9091, 1.456699, 0.9978229
203, -432.9381, 1137.775, 9999.0, 1197.0, 732.0, 360.1361, 2453.992, 339.1413, 1.466699, 1.007823
204, -432.9381, 1153.931, 9999.0, 1197.0, 732.0, 361.8836, 2456.204, 341.4044, 1.466699, 1.007823
205, -437.5898, 1153.931, 9999.0, 1197.0, 732.0, 360.7664, 2453.902, 343.6732, 1.486699, 1.027823
206, -437.5898, 1169.473, 9999.0, 1197.0, 732.0, 362.287, 2456.082, 345.9123, 1.496699, 1.037823
207, -442.4921, 1169.473, 9999.0, 1197.0, 732.0, 361.2719, 2453.73, 348.1676, 1.506699, 1.047823
208, -442.4921, 1184.891, 9999.0, 1197.0, 732.0, 362.6197, 2455.938, 350.4464, 1.506699, 1.047823
209, -442.4921, 1184.891, 9999.0, 1197.0, 732.0, 362.6197, 2455.938, 350.4464, 1.516699, 1.057823
210, -448.1187, 1199.96, 9999.0, 1197.0, 732.0, 362.7077, 2455.801, 354.9225, 1.536699, 1.077823
211, -452.8956, 1199.96, 9999.0, 1197.0, 243.5, 368.8249, 2453.311, 357.1838, 0.8721907, 1.087823
212, -452.8956, 1216.728, 9999.0, 1197.0, 230.0, 369.7945, 2456.164, 359.4336, 0.8721907, 1.087823
213, -457.9094, 1216.728, 9999.0, 653.0, 230.0, 367.5421, 2558.313, 361.6778, 0.6221667, 0.7187706
214, -457.9094, 1231.658, 9999.0, 653.0, 230.0, 368.3501, 2560.622, 363.9558, 0.6321668, 0.7287705
215, -463.1739, 1231.658, 9999.0, 648.0, 230.0, 367.0388, 2558.032, 366.2349, 0.6321668, 0.7287705
216, -463.1739, 1246.838, 9999.0, 648.0, 230.0, 367.6305, 2614.042, 368.4826, 0.496091, 0.5494906
217, -468.313, 1246.838, 9999.0, 648.0, 230.0, 367.535, 2611.447, 370.7557, 0.506091, 0.5594906
218, -468.313, 1262.506, 9999.0, 661.0, 230.0, 367.9166, 2642.759, 373.0423, 0.516091, 0.4432712
219, -474.9283, 1262.506, 9999.0, 661.0, 236.5, 367.5556, 2640.057, 375.2889, 0.516091, 0.4432712
220, -474.9283, 1277.924, 9999.0, 661.0, 236.5, 368.3439, 2642.66, 377.5426, 0.4265258, 0.4632712
221, -481.1677, 1277.924, 9999.0, 661.0, 236.5, 368.3568, 2639.932, 379.8448, 0.4365258, 0.4732712
222, -481.1677, 1292.366, 9999.0, 693.0, 257.0, 372.5746, 2655.719, 382.1163, 0.3650285, 0.3892214
223, -488.1452, 1292.366, 9999.0, 693.0, 257.0, 372.5363, 2652.948, 384.3588, 0.3750285, 0.3992214
224, -488.1452, 1307.31, 9999.0, 693.0, 257.0, 372.4072, 2655.377, 386.6576, 0.3850285, 0.4092214
225, -494.7606, 1307.31, 9999.0, 519.0, 257.0, 372.7476, 2692.981, 388.959, 0.3950284, 0.3465755
